Matrix_Size,Algorithm,Avg_Time_s,Min_Time_s,Max_Time_s,Std_Time_s,Speedup_vs_NumPy,NumPy_Time_s
10,NumPy matmul,5.7220458984375e-06,9.5367431640625e-07,1.3113021850585938e-05,6.490067285926914e-06,1.0,5.7220458984375e-06
10,LongNums NAIVE,3.6557515462239585e-06,1.9073486328125e-06,5.9604644775390625e-06,2.083038079274679e-06,1.5652173913043477,5.7220458984375e-06
10,LongNums NAIVE_TRANSPOSED,1.986821492513021e-06,9.5367431640625e-07,2.86102294921875e-06,9.635572157686664e-07,2.88,5.7220458984375e-06
10,LongNums SIMD_NAIVE,1.7484029134114583e-06,9.5367431640625e-07,2.1457672119140625e-06,6.882551541204759e-07,3.272727272727273,5.7220458984375e-06
10,LongNums ARM_NEON,1.7484029134114583e-06,1.1920928955078125e-06,2.1457672119140625e-06,4.963078497567493e-07,3.272727272727273,5.7220458984375e-06
10,LongNums STRASSEN,1.7484029134114583e-06,9.5367431640625e-07,2.1457672119140625e-06,6.882551541204759e-07,3.272727272727273,5.7220458984375e-06
10,LongNums WINOGRAD,1.3510386149088542e-06,9.5367431640625e-07,1.9073486328125e-06,4.963078497567493e-07,4.235294117647059,5.7220458984375e-06
10,LongNums ALPHA_TENSOR,1.430511474609375e-06,9.5367431640625e-07,2.1457672119140625e-06,6.307962682401158e-07,4.0,5.7220458984375e-06
10,LongNums AUTO,1.3510386149088542e-06,7.152557373046875e-07,2.1457672119140625e-06,7.283807905444845e-07,4.235294117647059,5.7220458984375e-06
40,NumPy matmul,1.1205673217773438e-05,2.86102294921875e-06,2.574920654296875e-05,1.264068235570103e-05,1.0,1.1205673217773438e-05
40,LongNums NAIVE,6.167093912760417e-05,3.4809112548828125e-05,0.00010609626770019531,3.8753349198602624e-05,0.18170103092783504,1.1205673217773438e-05
40,LongNums NAIVE_TRANSPOSED,5.642573038736979e-05,4.601478576660156e-05,7.128715515136719e-05,1.3210913810519223e-05,0.19859154929577466,1.1205673217773438e-05
40,LongNums SIMD_NAIVE,4.442532857259115e-05,3.5762786865234375e-05,6.127357482910156e-05,1.4592957029295801e-05,0.2522361359570662,1.1205673217773438e-05
40,LongNums ARM_NEON,3.0040740966796875e-05,2.5033950805664062e-05,3.314018249511719e-05,4.376783311530547e-06,0.373015873015873,1.1205673217773438e-05
40,LongNums STRASSEN,6.993611653645833e-05,5.3882598876953125e-05,8.988380432128906e-05,1.8313795867734636e-05,0.16022727272727275,1.1205673217773438e-05
40,LongNums WINOGRAD,6.190935770670573e-05,5.3882598876953125e-05,7.104873657226562e-05,8.636985200384857e-06,0.1810012836970475,1.1205673217773438e-05
40,LongNums ALPHA_TENSOR,0.00022403399149576822,0.000202178955078125,0.00024080276489257812,1.9807882895039134e-05,0.05001773678609436,1.1205673217773438e-05
40,LongNums AUTO,3.9418538411458336e-05,3.0994415283203125e-05,4.410743713378906e-05,7.311071161973905e-06,0.28427419354838707,1.1205673217773438e-05
70,NumPy matmul,1.1603037516276041e-05,5.9604644775390625e-06,2.09808349609375e-05,8.177212751701962e-06,1.0,1.1603037516276041e-05
70,LongNums NAIVE,0.00021187464396158853,0.00020194053649902344,0.00023174285888671875,1.72063788530119e-05,0.05476369092273068,1.1603037516276041e-05
70,LongNums NAIVE_TRANSPOSED,0.00021227200826009115,0.0002009868621826172,0.00022983551025390625,1.541507180146964e-05,0.05466117558966679,1.1603037516276041e-05
70,LongNums SIMD_NAIVE,0.00020901362101236978,0.000202178955078125,0.00021886825561523438,8.744904011712977e-06,0.05551330798479087,1.1603037516276041e-05
70,LongNums ARM_NEON,0.00013168652852376303,0.0001201629638671875,0.00015306472778320312,1.8532859589477524e-05,0.08811104405552202,1.1603037516276041e-05
70,LongNums STRASSEN,0.0003570715586344401,0.0003399848937988281,0.00038504600524902344,2.4424041134333324e-05,0.0324949922101046,1.1603037516276041e-05
70,LongNums WINOGRAD,0.00032909711201985675,0.0003199577331542969,0.0003452301025390625,1.40127126764063e-05,0.03525718425501087,1.1603037516276041e-05
70,LongNums ALPHA_TENSOR,0.00045339266459147137,0.0004291534423828125,0.0004961490631103516,3.7138493009880366e-05,0.025591586327782644,1.1603037516276041e-05
70,LongNums AUTO,0.0003399848937988281,0.0003311634063720703,0.00034880638122558594,8.821487426757812e-06,0.03412809724170173,1.1603037516276041e-05
100,NumPy matmul,2.5033950805664062e-05,1.1920928955078125e-05,4.00543212890625e-05,1.4163347950247904e-05,1.0,2.5033950805664062e-05
100,LongNums NAIVE,0.0006794134775797526,0.0006580352783203125,0.0007040500640869141,2.317979600597564e-05,0.03684641478535501,2.5033950805664062e-05
100,LongNums NAIVE_TRANSPOSED,0.0006256103515625,0.0006117820739746094,0.0006489753723144531,2.034815625510394e-05,0.040015243902439025,2.5033950805664062e-05
100,LongNums SIMD_NAIVE,0.000724633534749349,0.0007069110870361328,0.000743865966796875,1.852365579603886e-05,0.034547049791620967,2.5033950805664062e-05
100,LongNums ARM_NEON,0.0004283587137858073,0.0003790855407714844,0.0005199909210205078,7.943108573375295e-05,0.05844155844155844,2.5033950805664062e-05
100,LongNums STRASSEN,0.0007429917653401693,0.0006659030914306641,0.0008492469787597656,9.508817237428562e-05,0.03369344314899989,2.5033950805664062e-05
